,completeness,number_of_cds,type,length
MAGsDB_PAQV01,94.48,5051,MAG,5385524
MarDB_Donghicola_eburneus_strain_DSM_29127,98.8,4287,WGS,4426467
MarDB_Demequina_lutea_strain_SZUA-383,95.38,2688,MAG,2645226
MarRef_Muricauda_lutaonensis_strain_CC-HSB-11,99.01,3058,WGS,3274260
MAGsDB_DKOI01,94.06,2020,MAG,2065800
MAGsDB_DBAM01,99.41,4174,MAG,4770464
MAGsDB_TARA_PSW_MAG_00023,97.73,2783,MAG,3006533
MAGsDB_TARA_RED_MAG_00091,78.37,2477,MAG,2284967
MarRef_Prochlorococcus_sp_MIT_0604,99.73,2069,WGS,1780062
MarDB_Leptospira_interrogans_CSL10083,97.65,3775,WGS,4574388
MarRef_Helicobacter_cetorum_MIT_99-5656,99.77,1728,WGS,1847791
MarDB_GCF_900489835.1_Aequorivita_CIP107457T_annotated_assembly,99.62,3524,WGS,3803249
MAGsDB_DFLU01,99.24,3106,MAG,3378100
MarRef_Tenericutes_bacterium_MZ-XQ,98.67,2075,WGS,2157199
MarDB_Flavobacterium_piscis_CCUG_60099,99.22,5022,WGS,5880206
MarDB_GCA_003529565.1_ASM352956v1,81.46,2929,MAG,2980886
MarDB_Prochlorococcus_sp_AG-347-J22,89.27,1614,SAG,1411991
MarDB_Moritella_marina_MP-1,99.82,4149,WGS,4646785
MarDB_Vitellibacter_vladivostokensis_KMM_3516,99.24,3089,WGS,3269453
MarDB_Bacillus_sp_TD41,99.34,5205,WGS,5094424
MarRef_Lacinutrix_sp_5H-3-7-4,99.67,2979,WGS,3296169
MarRef_Methanococcus_maripaludis_C6,99.98,1869,WGS,1744194
MarDB_GCA_003428865.1_ASM342886v1,99.34,3225,WGS,3272802
MarDB_Thioclava_sp_SK-1,99.7,4115,WGS,4289092
MarRef_Marinobacter_sp_Arc7_DN_1,100.0,3965,WGS,4300456
MarDB_Salinivibrio_sp_KP-1,99.97,3201,WGS,3500522
MAGsDB_DEAN01,83.04,2118,MAG,2239983
MarDB_Desulfarculus_sp_SPR,99.35,5000,WGS,5934995
MAGsDB_PACM01,86.77,1239,MAG,1222601
MAGsDB_PBIN01,99.78,3535,MAG,3575202
MarDB_endosymbiont_of_Loripes_lucinalis_strain_G_E,99.59,4402,MAG,4881417
MarRef_Marinobacter_sp_es_042,100.0,3584,WGS,3936236
MarDB_Bacteroidales_bacterium_UBA5342,95.89,3420,MAG,4462551
MarDB_Methylophilales_bacterium_HTCC2181,97.82,1322,WGS,1304429
MarDB_Mesonia_sp_K7,98.94,2408,WGS,2547680
MAGsDB_PBNM01,94.63,1671,MAG,1660234
MarDB_Methylovulum_miyakonense,99.23,4255,WGS,4687144
MarDB_GCA_003648765.1_ASM364876v1,91.44,2401,MAG,2767995
MarDB_Methanocaldococcus_villosus_KIN24-T80_1,98.81,1379,WGS,1249385
MarDB_Colwellia_sp_12G3,100.0,4232,WGS,5055586
MarDB_Rhodobiaceae_bacterium_strain_NORP32,96.55,3348,MAG,3450951
MarDB_Hoeflea_sp_strain_NORP7,99.81,4661,MAG,4861307
MarDB_GCA_003602415.1_ASM360241v1,87.76,1596,MAG,1893503
MarDB_Exiguobacterium_sp_JLM-2,99.34,2978,WGS,2899976
MAGsDB_DFBX01,96.39,3652,MAG,3610761
MarDB_Mycobacterium_pinnipedii_strain_MP1,99.94,4085,WGS,4251331
MarDB_Streptomyces_avicenniae_NRRL_B24776,95.46,5998,WGS,6480327
ProGenomes_1229489_PRJNA174218,99.15,3496,WGS,3765366
MarDB_GCA_003645535.1_ASM364553v1,89.27,4352,MAG,4151404
MarDB_Vitellibacter_soesokkakensis_RSSK-12,99.11,2964,WGS,3190777
MarDB_SAR116_cluster_alpha_proteobacterium_strain_HIMB100,99.56,2340,WGS,2458946
MarDB_GCF_003390395.1_ASM339039v1,99.62,3748,WGS,4357276
MarDB_GCA_003336385.1_ASM333638v1,90.38,1932,MAG,1633070
ProGenomes_1379270_PRJNA213561,98.9,3970,WGS,4706869
MarDB_Phaeobacter_sp_11ANDIMAR09,99.95,4507,WGS,4709833
MAGsDB_TARA_PSE_MAG_00023,93.18,3427,MAG,3996378
MarDB_Streptomyces_sp_AW19M42,99.86,7406,WGS,8008793
MAGsDB_NYZB01,85.68,4629,MAG,4881411
MarDB_Bacillus_xiamenensis,99.38,3720,WGS,3611919
MarDB_GCA_003661945.1_ASM366194v1,90.19,1504,MAG,1264435
MAGsDB_TARA_ASW_MAG_00011,83.2,1749,MAG,1963677
MarDB_Prochlorococcus_sp_AG-355-N16,96.33,1900,SAG,1648612
MarDB_Streptomyces_sp_MUSC_125,99.46,6875,WGS,7656462
MarDB_Prochlorococcus_sp_AG-347-J21,92.84,1613,SAG,1421082
MAGsDB_PAPT01,91.52,2354,MAG,2602685
MarDB_Loktanella_litorea_strain_DSM_29433,99.7,3307,WGS,3323468
MAGsDB_PBSL01,93.69,3679,MAG,4864823
MarDB_Micromonospora_sp_CNZ309,99.47,6230,WGS,7274739
MarDB_Piscirickettsia_sp_Y2,96.79,4282,WGS,3897430
MAGsDB_PAQG01,81.55,1846,MAG,1833363
MarDB_Thiomicrospira_sp_WB1,98.73,2072,WGS,2279451
MarDB_GCA_003702545.1_ASM370254v1,91.26,1581,MAG,1224048
MarDB_Loktanella_tamlensis_strain_DSM_26879,99.39,3236,WGS,3190948
MarDB_GCF_003515705.1_ASM351570v1,99.33,4644,WGS,4778684
MarDB_Thermonema_rossianum,99.18,2603,WGS,2954968
MAGsDB_TARA_PSE_MAG_00059,75.45,958,MAG,845754
MAGsDB_PAWM01,88.6,1341,MAG,1523834
MAGsDB_PBOM01,84.62,2100,MAG,2079132
MarDB_Candidatus_Pelagibacter_ubique_HIMB058,98.8,1233,WGS,1115049
ProGenomes_380749_PRJNA18891,100.0,1636,WGS,1559514
MarDB_Prochlorococcus_sp_AG-418-M08,98.51,1867,SAG,1664652
MAGsDB_TARA_ANE_MAG_00009,96.26,5012,MAG,5226535
MAGsDB_PAGZ01,81.93,1370,MAG,1263754
MarRef_Celeribacter_manganoxidans_strain_DY25,99.09,3614,WGS,3956796
MarDB_Gilvibacter_sp_SZ-19,99.11,2862,WGS,3100211
MarDB_OM182_bacterium_BACL3_MAG-120619-bin32,91.77,2376,MAG,2408987
MarDB_Thiomicrospira_kuenenii,99.39,2239,WGS,2452458
MarRef_Thermococcus_sp_EXT12c,100.0,2335,WGS,2155760
MarDB_GCA_003526945.1_ASM352694v1,78.75,2591,MAG,2433727
ProGenomes_533240_PRJNA40109,99.85,3515,WGS,3879030
MarDB_GCA_003646045.1_ASM364604v1,91.14,3091,MAG,3195663
MarDB_GCF_003605755.1_ASM360575v1,99.48,3145,WGS,3304416
MarDB_Glaciecola_mesophila_KMM_241,100.0,4428,WGS,5055762
MarDB_Prochlorococcus_sp_AG-347-M18,85.78,1574,SAG,1369540
MarDB_Brevundimonas_viscosa_strain_CGMCC_110683,100.0,3099,WGS,2996831
MAGsDB_DATW01,75.2,1193,MAG,1259830
MarDB_Alcanivorax_sp_UBA1911,98.88,3147,MAG,3397570
MarDB_Marinobacter_guineae_strain_M3B,100.0,4158,WGS,4458884
MarDB_Aquimarina_sp_MAR_2010_214_strain_Mar_2010_214,99.62,5234,WGS,5982454
MarDB_Streptomyces_sp_CB02366,99.93,6442,WGS,7369246
MarDB_GCF_003026355.1_ASM302635v1,97.62,4157,WGS,4732354
MarDB_Planctomycetes_bacterium_strain_NORP49,93.55,5319,MAG,6760120
MarDB_Candidatus_Syntrophoarchaeum_caldarius_strain_BOX2,96.08,1764,WGS,1666082
MAGsDB_DACZ01,77.33,1645,MAG,1876842
MarRef_Salinigranum_rubrum_GX10_MMP08381148,98.42,5123,WGS,4973118
ProGenomes_509190_PRJNA37277,99.68,4296,WGS,4655622
MarDB_Rhodospirillaceae_bacterium_strain_NORP35,96.39,2083,MAG,2098622
MarDB_Aquimarina_pacifica,99.62,4385,WGS,5262768
MAGsDB_TARA_MED_MAG_00075,79.07,1191,MAG,1351578
MarDB_Aurantimonas_sp_22II-16-19i,100.0,5371,WGS,5841673
MarDB_GCA_003526925.1_ASM352692v1,83.58,1149,MAG,981505
MarDB_Prochlorococcus_sp_AG-442-D10,96.47,1807,SAG,1568271
MAGsDB_DHZH01,95.62,2598,MAG,2745376
MarDB_Serratia_liquefaciens_strain_72,99.89,5042,WGS,5326350
MAGsDB_PBSU01,86.59,1924,MAG,1992915
MarDB_Gammaproteobacteria_bacterium_N3_P5,96.3,3089,MAG,2852357
MAGsDB_PBCV01,75.82,1180,MAG,1284142
MarDB_Pelagimonas_varians_strain_DSM_23678,99.7,4796,WGS,4926685
MarRef_Candidatus_Thioglobus_singularis_PS1,98.68,1722,WGS,1714149
MarDB_Spirochaetales_bacterium_strain_DOLJORAL78_50_23,77.87,1461,MAG,1412993
MAGsDB_DAYH01,77.61,1155,MAG,1308442
MarDB_Polaribacter_sp_WS2-14,99.33,2341,WGS,2673863
ProGenomes_926549_PRJNA76501,100.0,4182,WGS,4833585
MarDB_GCA_003645385.1_ASM364538v1,81.48,2228,MAG,1910269
MAGsDB_TARA_RED_MAG_00030,90.6,3968,MAG,4023354
MarDB_Alkalibacterium_pelagium_strain_DSM_19183,98.36,2436,WGS,2638903
ProGenomes_373903_PRJNA16377,99.12,2419,WGS,2578146
MarDB_Bacteroidetes_bacterium_strain_Spr20G08_bin23,95.11,2743,MAG,3052994
MarRef_Thermococcus_onnurineus_NA1,97.52,1998,WGS,1847608
MarDB_Colwellia_aestuarii_CGMCC1_6965,99.66,3766,WGS,4292822
MAGsDB_PAIH01,96.17,2896,MAG,3709474
MAGsDB_PAOB01,81.37,1484,MAG,1557090
MAGsDB_DCBC01,75.95,1915,MAG,1918021
MarDB_Halomonas_meridiana_R1t3,100.0,3337,WGS,3471966
MarDB_Methylomicrobium_buryatense_5G,99.6,4444,WGS,5067279
MarDB_GCA_003484265.1_ASM348426v1,79.69,3383,MAG,3382087
MarDB_Spirochaetales_bacterium_strain_SZUA-438,96.85,3092,MAG,3280452
MarDB_Pseudohongiella_acticola_strain_KCTC_42131,97.41,3185,WGS,3612482
MarDB_Rhodobacteraceae_bacterium_PD-2,99.1,5165,WGS,5232339
ProGenomes_990370_PRJNA82805,99.15,3945,WGS,4339789
MarDB_Gramella_echinicola,99.62,3191,WGS,3513827
ProGenomes_41431_PRJNA20503,99.56,4421,WGS,4679413
MAGsDB_PANZ01,93.37,1635,MAG,1642008
MarDB_GCF_003688285.1_ASM368828v1,99.64,3750,WGS,3837315
MAGsDB_TARA_IOS_MAG_00017,91.57,2269,MAG,2258247
MarDB_Rhodopseudomonas_palustris_strain_XCP,100.0,5132,WGS,5590663
MarDB_Shewanella_halifaxensis_strain_6JANF4-E-4,99.84,4894,WGS,5462838
MarRef_Pelagibacterium_halotolerans_B2,99.18,3854,WGS,3948888
MAGsDB_PBFL01,88.24,1564,MAG,1749664
MarDB_Methanomicrobiaceae_archaeon_UBA206,94.12,1714,MAG,1617645
MarRef_Glaciecola_nitratireducens_FR1064,100.0,3497,WGS,4134230
MarDB_GCA_003503535.1_ASM350353v1,88.52,5737,MAG,6562623
MAGsDB_DIHX01,89.14,2460,MAG,2499339
MarRef_alpha_proteobacterium_HIMB5,100.0,1433,WGS,1343203
MarRef_Thermovirga_lienii_DSM_17291,100.0,1941,WGS,1999647
MAGsDB_PBRZ01,86.61,4229,MAG,4639937
MAGsDB_TARA_MED_MAG_00016,96.15,1768,MAG,1639879
MarDB_GCA_003650365.1_ASM365036v1,95.79,3169,MAG,3661802
MarRef_Nonlabens_dokdonensis_DSW-6,98.54,3463,WGS,3914633
MarDB_GCA_003645975.1_ASM364597v1,75.32,1832,MAG,1776496
MAGsDB_PBSS01,89.74,1449,MAG,1441759
MarDB_Halogranum_amylolyticum_strain_CGMCC_110121,99.38,5334,WGS,5185691
ProGenomes_1265504_PRJNA182463,100.0,6288,WGS,6832523
MAGsDB_NZGG01,90.51,2309,MAG,2419185
MarDB_GCA_003650125.1_ASM365012v1,87.65,2693,MAG,2612673
MAGsDB_PASA01,77.98,1088,MAG,1177491
MarDB_Pseudomonas_stutzeri_strain_4C29,100.0,4097,WGS,4450585
ProGenomes_79929_PRJNA40103,100.0,1744,WGS,1634695
MAGsDB_DKOR01,89.23,1774,MAG,1817913
MAGsDB_DJIF01,93.03,3762,MAG,4595748
MarDB_SAR86_cluster_bacterium_strain_NORP41,95.8,2969,MAG,3128113
MarDB_Candidatus_Thorarchaeota_archaeon_MP9T_1,84.58,4510,MAG,4389059
MarDB_Flavobacterium_sp_A7_6,99.65,4502,WGS,5261779
MarDB_Saccharomonospora_sp_CUA-673,94.97,5762,WGS,5421118
MAGsDB_DCXX01,80.7,1853,MAG,1966318
MAGsDB_TARA_ASE_MAG_00006,76.46,3178,MAG,2981946
MAGsDB_DAZU01,80.22,1539,MAG,1731072
MarDB_Leeuwenhoekiella_palythoae_strain_DSM_19859,99.62,3416,WGS,4030000
MAGsDB_DCQX01,97.28,3156,MAG,3863479
MAGsDB_TARA_IOS_MAG_00016,92.11,1669,MAG,1769221
MarDB_Reichenbachiella_versicolor_strain_DC003,98.29,4269,WGS,5259300
MarDB_Vibrio_ishigakensis_JCM_19241,88.4,6173,WGS,4783638
MAGsDB_DFDK01,89.1,1833,MAG,1670848
MarRef_Devosia_sp_I507_MMP08516637,99.59,3910,WGS,4005916
MarDB_Polaribacter_sp_Hel_I_88,99.66,3446,WGS,3996528
MarRef_Flavobacteriaceae_bacterium_UJ101,100.0,2685,WGS,3074210
MarDB_GCA_003646815.1_ASM364681v1,95.71,3508,MAG,3465865
MarDB_Winogradskyella_sp_M1309,99.34,3201,WGS,3517112
MarDB_Ponticaulis_koreensis,99.68,3349,WGS,3400380
MarDB_GCA_003649695.1_ASM364969v1,81.16,1606,MAG,1347275
MarDB_Muricauda_antarctica_strain_CGMCC_112174,99.67,4094,WGS,4484399
MarDB_Acidimicrobiia_bacterium_strain_SZUA-35,95.73,3753,MAG,3712993
MarDB_GCA_003601725.1_ASM360172v1,83.96,1313,MAG,1202259
MarDB_Marinicella_litoralis_strain_KMM_3900,97.78,2935,WGS,3347334
MarDB_Prochlorococcus_sp_AG-402-L23,95.79,1869,SAG,1662945
MarRef_Celeribacter_ethanolicus_strain_TSPH2,99.24,4092,WGS,4157437
MAGsDB_DKMQ01,88.53,2071,MAG,2073715
MarDB_Celeribacter_baekdonensis_strain_DSM_27375,99.24,4382,WGS,4442625
MarDB_unclassified_bacterium_1,94.52,6866,WGS,6554723
MarDB_Croceicoccus_sp_H4,99.63,3493,WGS,3602539
MarDB_Zooshikella_ganghwensis_JC2044,99.03,6037,WGS,6605154
MarDB_GCF_003402975.1_ASM340297v1,100.0,2986,WGS,3423338
MAGsDB_DFRK01,97.65,4037,MAG,4609593
MarRef_Marinifilaceae_bacterium_SPP2,99.46,4495,WGS,5718991
MarDB_Flavobacterium_chilense_strain_DSM_24724,99.65,5188,WGS,6113834
MAGsDB_PBSR01,83.62,5319,MAG,5970290
MAGsDB_TARA_PON_MAG_00013,96.97,7369,MAG,10152466
MarDB_Vibrio_sp_10N_261_55_A7,99.5,4603,WGS,4939727
MarDB_Micromonospora_sp_S2904,100.0,6655,WGS,6579334
MarRef_Rhodobacteraceae_bacterium_BAR1,99.6,3556,WGS,3558757
MAGsDB_NHEN01,79.03,2803,MAG,3450436
MarRef_Methanocaldococcus_fervens_AG86,99.52,1640,WGS,1507252
ProGenomes_517417_PRJNA29213,98.89,2100,WGS,2289249
MAGsDB_DAXZ01,93.2,1698,MAG,1389729
MAGsDB_TARA_ANE_MAG_00033,82.06,1168,MAG,1063449
MarRef_Spirochaeta_sp_L21-RPul-D2,100.0,3277,WGS,3782799
MAGsDB_DLRG01,86.58,2292,MAG,2259844
MarDB_Mariprofundus_micogutta_strain_ET2,99.58,2437,WGS,2497806
MarDB_GCA_003661605.1_ASM366160v1,83.57,925,MAG,793862
MarDB_Exiguobacterium_marinum,99.34,2831,WGS,2814017
MAGsDB_NZGC01,89.88,2956,MAG,3208306
MAGsDB_NZEE01,76.79,2217,MAG,1897616
MarDB_Pelagibacteraceae_bacterium_AG-426-G09,86.39,1232,SAG,1162454
MarDB_Marinobacter_segnicrescens_strain_CGMCC_16489,100.0,3915,WGS,4218892
MAGsDB_DCCD01,94.78,3082,MAG,3746170
MarDB_Planctomycetes_bacterium_strain_NORP40,95.96,2831,MAG,3164620
MAGsDB_TARA_MED_MAG_00043,80.22,1200,MAG,1095487
MAGsDB_DAPJ01,77.16,1188,MAG,1318011
MarDB_Microbacterium_mangrovi,99.49,4087,WGS,4416602
MarDB_Pseudoruegeria_sabulilitoris_GJMS-35,100.0,5038,WGS,5324676
MAGsDB_TARA_MED_MAG_00107,79.01,686,MAG,623266
MarDB_Gammaproteobacteria_bacterium_MOLA455,99.07,2335,WGS,2605027
MAGsDB_TARA_MED_MAG_00053,81.73,1568,MAG,1787286
MarDB_Photobacterium_aquimaris_CECT_9192,97.9,3793,WGS,4306099
MarDB_Epsilonproteobacteria_bacterium_strain_SZUA-358,78.32,1805,MAG,1521776
MarDB_Puniceibacterium_sp_IMCC21224,98.94,5362,WGS,5563486
MarDB_GCF_003390935.1_ASM339093v1,99.0,4470,WGS,5556195
MarRef_Archaeoglobus_profundus_DSM_5631,99.84,1873,WGS,1563424
MarDB_Methanomicrobiaceae_archaeon_UBA207,93.14,1474,MAG,1289766
MarDB_Demequina_oxidasica,97.11,2388,WGS,2623558
MAGsDB_NZVD01,97.58,3761,MAG,4890980
MarDB_Coxiella_sp_DG_40,77.23,2307,WGS,2338618
MarDB_Rhodospirillaceae_bacterium_Spongia-Bin9_strain_Spongia_Bin9,96.94,3955,WGS,4060854
MarDB_Prochlorococcus_sp_AG-402-P16,78.67,1778,SAG,1587150
MarDB_Prochlorococcus_sp_AG-347-G20,89.4,1672,SAG,1456849
MarRef_Kordia_sp_SMS9,99.59,4663,MAG,5482391
MarDB_Pacificibacter_marinus_CECT_7971,99.24,3849,WGS,3914648
MarRef_Belliella_baltica_DSM_15883,100.0,3832,WGS,4196596
MarDB_Kordia_periserrulae_strain_DSM_25731,99.59,4081,WGS,4725576
MarRef_Olleya_sp_Bg11-27,99.67,3840,WGS,4314320
MarDB_Salinicola_salarius_strain_DSM_18044,97.63,3466,WGS,3883667
MAGsDB_PBKK01,90.48,1325,MAG,1204724
MarDB_Sphingopyxis_sp_MWB1,99.98,2860,WGS,3118429
ProGenomes_1121285_PRJNA195786,99.51,3758,WGS,4115892
MarRef_Psychrobacter_sp_P11G3,99.95,2649,WGS,3282857
MAGsDB_NZWE01,79.14,1447,MAG,1565414
MarDB_alpha_proteobacterium_SCGC_AAA536-K22,78.86,2153,SAG,1995180
MAGsDB_DKAL01,80.31,1709,MAG,1587388
MarDB_Demequina_flava,97.69,2381,WGS,2546966
MarDB_Gammaproteobacteria_bacterium_F7,88.71,2656,WGS,2584714
MarDB_Vibrio_sp_AND4,93.75,3839,WGS,4255799
MarDB_Vibrio_mytili,98.76,4533,WGS,4610820
MarDB_Idiomarina_sp_MD25a,100.0,2494,WGS,2680247
MAGsDB_PAQY01,99.78,4047,MAG,4232139
MarDB_Desulfatibacillum_aliphaticivorans,98.7,5316,WGS,6469961
MarDB_Alphaproteobacteria_bacterium_MarineAlpha5_Bin5,98.19,1648,MAG,1575745
MarDB_Candidatus_Bathyarchaeota_archaeon_strain_Bin-L-1,82.47,2389,MAG,2245644
MarDB_GCF_003399445.1_ASM339944v1,97.03,3168,WGS,3400641
MarDB_Pseudoalteromonas_sp_JW1,100.0,4193,WGS,4856395
MarDB_Shewanella_waksmanii_ATCC_BAA-643,99.84,4440,WGS,4971481
MarDB_Primorskyibacter_sp_PX7,99.39,3829,WGS,4069681
MarRef_Calothrix_parasitica_NIES-267,99.7,7519,WGS,9491741
MarDB_Bacillus_vallismortis_strain_TD3,98.82,4000,WGS,3912114
MarDB_GCF_003323735.1_ASM332373v1,99.56,6735,WGS,7687565
MarDB_Thalassospira_sp_MCCC_1A02803,100.0,4082,WGS,4432273
MAGsDB_PAHA01,94.85,1976,MAG,2205922
MarDB_Shimia_haliotis_strain_DSM_28453,99.32,3908,WGS,3995970
MarDB_Amycolatopsis_sp_AU-G6,100.0,5732,WGS,6342753
MarDB_Croceitalea_dokdonensis_DOKDO_023,98.68,3442,WGS,3883803
MarDB_Pararhodobacter_aggregans_strain_DSM_18938,99.39,4949,WGS,5073924
MarDB_Ignavibacteria_bacterium_strain_SZUA-254,84.58,2451,MAG,2773539
MAGsDB_PBZE01,75.58,1164,MAG,1280864
MAGsDB_DEAC01,95.6,5524,MAG,5618638
MarDB_GCA_003671475.1_ASM367147v1,98.89,4813,MAG,5586882
MarDB_Prochlorococcus_sp_AG-363-N16,85.29,1537,SAG,1398838
MarRef_Actinoalloteichus_sp_AHMU_CJ021_MMP08364581,100.0,5350,WGS,6822750
MarDB_Prochlorococcus_sp_AG-409-J16,98.91,1950,SAG,1843369
MarRef_Krokinobacter_sp_4H-3-7-5,99.62,2993,WGS,3389994
MarDB_Spirochaetales_bacterium_strain_SZUA-414,100.0,4203,MAG,4433794
ProGenomes_1455061_PRJNA236065,92.42,3199,WGS,3415676
MarRef_Rhodothermus_marinus_DSM_4252,100.0,2922,WGS,3386738
MAGsDB_DGLO01,92.23,2483,MAG,2422836
MarDB_Alphaproteobacteria_bacterium_MarineAlpha3_Bin2,96.09,2399,MAG,2272903
MarDB_Enterovibrio_pacificus_strain_CAIM_1920,100.0,4818,WGS,5288134
MarDB_Aestuariivita_boseongensis_BS-B2,99.36,3925,WGS,3944325
MAGsDB_TARA_MED_MAG_00006,97.35,2731,MAG,2951863
MarDB_Thalassospira_povalilytica_strain_Zumi_95,100.0,4367,WGS,4724967
MAGsDB_DCYS01,100.0,2938,MAG,3410805
ProGenomes_1087448_PRJNA73211,98.52,2906,WGS,2815863
MarDB_GCA_003641345.1_ASM364134v1,84.0,2351,MAG,2434882
MAGsDB_NZWJ01,85.78,1108,MAG,1056808
MarDB_Hyphomonadaceae_bacterium_UBA5336,98.85,3405,MAG,3606695
MarDB_Cytophagales_bacterium_UBA2561,97.62,3670,MAG,4515746
MarDB_Prochlorococcus_sp_AG-409-L18,92.39,1890,SAG,1775338
ProGenomes_1120998_PRJNA195753,99.29,2945,WGS,3262258
MAGsDB_PBAY01,93.11,2628,MAG,3067623
MarRef_Streptomyces_niveus_SCSIO_3406,99.49,6970,WGS,7990492
MarDB_Roseovarius_nanhaiticus_strain_CGMCC_110961,99.35,3553,WGS,3706029
ProGenomes_313589_PRJNA13546,99.73,4010,WGS,4221782
MarRef_Synechococcus_sp_CC9311,99.73,2879,WGS,2606749
MarDB_Ruegeria_marina_strain_CGMCC_19108,99.57,4759,WGS,4995423
MarDB_Ruegeria_arenilitoris_CECT_8715,99.57,3800,WGS,3871907
MarDB_Streptomyces_sp_CNH287,99.91,6152,WGS,6788522
MarRef_Colwellia_psychrerythraea_34H,100.0,4512,WGS,5373181
MAGsDB_DAHO01,75.54,1543,MAG,1828059
MarRef_Flammeovirga_sp_MY04,98.36,5618,WGS,7327615
MAGsDB_NZAO01,86.43,1551,MAG,1570280
MarRef_Deferribacter_desulfuricans_SSM1,96.55,2468,WGS,2542934
MarDB_GCA_003354025.1_ASM335402v1,93.64,4192,MAG,4169266
MarDB_GCF_003584165.1_ASM358416v1,99.5,3894,WGS,4238297
MAGsDB_PAOI01,93.81,3455,MAG,3483980
MarDB_Prochlorococcus_sp_AG-347-K15,76.13,1357,SAG,1165132
MarDB_Tropicimonas_isoalkanivorans_strain_DSM_19548,99.0,4818,WGS,4976642
MAGsDB_DGQF01,86.21,2860,MAG,3068317
MarDB_GCF_003716585.1_ASM371658v1,99.45,2105,WGS,2287550
MarRef_Novosphingobium_pentaromativorans_US6-1,99.93,5132,WGS,5457579
MAGsDB_PAPJ01,92.87,3519,MAG,4535358
MarDB_Zetaproteobacteria_bacterium_TAG-1,99.58,2186,WGS,2163553
MAGsDB_NZGT01,81.24,3568,MAG,4043459
MarDB_Prochlorococcus_sp_AG-347-K16,94.47,1786,SAG,1566220
MarDB_Lacinutrix_sp_PAMC_27137,99.59,3581,WGS,4017535
MAGsDB_TARA_MED_MAG_00063,84.43,1662,MAG,1652883
MarDB_Beggiatoa_sp_PS,89.76,10222,WGS,7631540
MarDB_Roseivivax_lentus_DSM_29430,98.49,4165,WGS,4439333
MarDB_Photobacterium_aquae,99.05,4691,WGS,5078736
MarDB_Litorimicrobium_taeanense_strain_DSM_22007,98.72,3872,WGS,4019515
MarDB_Arcobacter_sp_LA11,99.59,3068,WGS,3098977
MAGsDB_PBZV01,88.83,1452,MAG,1131154
MAGsDB_TARA_RED_MAG_00053,85.54,1329,MAG,1204038
MarDB_Hellea_balneolensis_strain_SZUA-39,80.03,1878,MAG,1670048
MarRef_Synechococcus_sp_KORDI-49,99.37,2662,WGS,2585814
MAGsDB_DFBF01,81.13,3622,MAG,3214738
MAGsDB_PBDC01,75.14,3631,MAG,3832756
MarDB_Rhodobacter_azotoformans_strain_YLK20,99.6,4514,WGS,4325082
MarDB_Ferrimonas_kyonanensis,100.0,4458,WGS,4930961
MarRef_Prochlorococcus_marinus_subsp_pastoris_str_CCMP1986,99.46,1921,WGS,1657991
MarDB_Planctomycetaceae_bacterium_FC18,98.75,5128,WGS,6529822
MAGsDB_PBKR01,93.66,1881,MAG,2016084
ProGenomes_511_PRJNA258399,100.0,4071,WGS,4402705
MarDB_Alphaproteobacteria_bacterium_strain_NORP63,91.17,2520,MAG,2554702
MarDB_Rhodospirillales_bacterium_strain_SZUA-500,80.35,2323,MAG,2267874
MarDB_Vibrio_sp_10N_286_49_C2,97.74,4604,WGS,5159071
MarDB_Flammeovirga_pacifica,98.51,4988,WGS,6507365
ProGenomes_1453505_PRJNA236354,99.65,4793,WGS,5597105
MarRef_Methanoplanus_petrolearius_DSM_11571,99.67,2821,WGS,2843291
ProGenomes_1121943_PRJNA182407,99.57,4277,WGS,4533090
MarDB_Clostridia_bacterium_strain_SZUA-610,91.01,3537,MAG,4243302
ProGenomes_497965_PRJNA28535,99.82,5578,WGS,6091620
MarDB_Methanomicrobiales_archaeon_strain_M5_MMPM,81.24,2366,MAG,1898925
MarRef_Candidatus_Nitrosopumilus_sp_AR2,97.09,2112,WGS,1690906
MarDB_Marinobacter_sp_PWS21,100.0,3604,WGS,4034607
MarRef_Mesorhizobium_sp_B7,99.59,5189,WGS,5324562
MarDB_GCA_003648635.1_ASM364863v1,94.52,3790,MAG,4131218
MarDB_Leeuwenhoekiella_sp_MAR_2009_132,99.57,3534,WGS,4140758
ProGenomes_675813_PRJNA40493,98.51,3370,WGS,3815101
MAGsDB_DFBZ01,91.08,2970,MAG,3250476
MarDB_Alteromonas_sp_W12,100.0,3923,WGS,4604223
MarDB_Marine_Group_I_thaumarchaeote_SCGC_AAA799-N04,84.47,1773,SAG,1296718
MAGsDB_TARA_ANE_MAG_00044,83.74,1333,MAG,1112456
MAGsDB_PBVO01,95.46,4453,MAG,5326059
MarDB_Algoriphagus_mannitolivorans,100.0,3653,WGS,4152950
MarDB_Methylophaga_sp_strain_NORP33,96.48,2634,MAG,2647311
MarDB_Moritella_sp_JT01,100.0,4335,WGS,4836425
MAGsDB_NZVB01,87.5,3062,MAG,3000427
MarDB_Prolixibacter_bellariivorans_ATCC_BAA-1284,100.0,4266,WGS,5151246
MarDB_Pelagicola_litorisediminis_CECT_8287,99.62,3923,WGS,3998736
MarDB_Pseudoalteromonas_sp_BSi20311,99.96,3683,WGS,3979837
MarRef_Marinobacterium_sp_ST58-10,100.0,4521,WGS,5191609
MAGsDB_PBYU01,90.37,3787,MAG,3957445
MarDB_Pricia_antarctica_strain_DSM_23421,98.9,4185,WGS,4851998
